Postdate,Display name,Username,Content,Likes,Comments,Retweets,Reach
2023-03-17T23:07:39.000Z,Engr. Tanimu Abdu GSS Giwa,@Tanimua62012354,Yau ne 18/03/2023 ranar Zaben 2023 elections. Allah bamu saa Domin sonka da Annabi.,,,,2
Sponsored post,DITOGAMES,@DITOGAMESch,"If you have a mouse, you will never turn off your computer again.",13K,892,"2,059",19.4M
2023-03-17T23:06:16.000Z,Oluwaseyi Jibodu’s Blog ✪,@TheSeyiBlogNG,"It's #NigerianElections2023 Guber and SHA polls Morning! 
Today, we bring you news from 28 states across Nigeria where Gubernatorial and State House of Assembly polls will hold today. 

You will need our tweet notifications, so put them on! 

Let's wrap up the #2023Elections!",1,,,25
2023-03-17T22:55:21.000Z,Dan S #HealthcareVoter,@Dsquared75,"#WISupremeCourt #2023Elections #CourtsMatter and #DefendingDemocracy starts in the States. All eyes will be on Wisconsin early next month for the early April election that could be a game changer in one of the most important belweather states h/t 
@ThePlumLineGS",,,,52
2023-03-17T22:54:36.000Z,Naijareel.comᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠ,@naijareel,"2023 Elections: Falz, others allegedly assaulted at their polling units",,,,1
2023-03-17T21:29:13.000Z,SuperFM,@supernewsph,"Join us by 8am tomorrow for the live coverage of the 2023 Rivers State Elections 
#2023elections",1,,1,29
2023-03-17T21:21:50.000Z,Joe Dinma Amadi,@JoeDinma,"Attention: The Inspector General of Police is hereby requested to investigate the said police spokesman for making irresponsible state in the matter of M. C. Oluomo's threat to voters who will not vote for APC during the rescheduled 18th March, 2023 elections in Lagos State.",,,,5
2023-03-17T20:57:04.000Z,Marcellux,@i_marcellux,Tag the owners of this perfume in politics and run away  lol . #INECElectionResult #election2023 #2023elections #NigeriaDecide2023,,,,8
2023-03-17T20:52:14.000Z,NPOReports,@NpoReports,Alleged New Threat to Igbo Was Just A Joke; MC Oluomo Says in Fresh Video https://nporeports.com/video-on-threat-to-igbo-was-just-a-joke-mc-oluomo-says-in-fresh-video/… #LagosDecides2023 #2023Elections #MCOluomo,,1,,34
2023-03-17T20:40:55.000Z,Situation Room,@SituationRoomNg,"The Nigeria Civil Society Situation Room has raised concerns over potential threats of violence in many states during the March 18 governorship and state houses of assembly elections.

Read more: https://bit.ly/42jHlUj

#SR2023Elections 
#NigeriaDecides2023 
#2023Elections",2,1,,464
2023-03-17T20:34:53.000Z,Situation Room,@SituationRoomNg,"Update: Distribution of sensitive materials at Aliade, Gwer-East INEC LGA Office, Benue State, to Wards ahead of the Governorship/State Assembly election.

#SR2023Elections 
#NigeriaDecides2023 
#2023Elections",,,,443
2023-03-17T20:31:14.000Z,AllNews Nigeria,@allnewsngr,2023 Elections: Buni Calls For Peaceful Electoral Process,,,,29
2023-03-17T20:28:17.000Z,OchumedsNGLtd,@OchumedsLtd,| inec 2023elections | makinde | mcOlumo | Sowolu|,,,,10
Sponsored post,Payday,@ourpaydayHQ,"1. Global Accounts: USD, GBP, EUR, etc — in your name 

2. USD Mastercard that works globally. 

Download Payday: 
http://usepayday.app.link/download?twclid=21uwzq48urr6a2eo1vcotjcsx3","2,022",220,159,2.4M
2023-03-17T20:27:26.000Z,Situation Room,@SituationRoomNg,"Update: Distribution of sensitive materials to 12 Wards at Bauchi INEC LGA Office ahead of the Governorship/State Assembly election.
Time: 6:56pm 

#SR2023Elections 
#NigeriaDecides2023 
#2023elections",2,,,468
2023-03-17T19:14:54.000Z,Gistsmate,@GGistsmateMedia,"Police Arrest Woman With 550 Laminated INEC Materials

#2023elections",1,,,65
2023-03-17T19:11:55.000Z,PatrioticNigerian,@Patriotic9ja,2023 Elections: Peter Obi Dissociates Self From Nationwide Protest Amid NHRC Hate Speech Concerns - >>> Published on Vigil360,,,,6
2023-03-17T19:11:41.000Z,ATIKU BANDE SUPPORT ORG,@ABSO_SupportOrg,"GAB For The Biggest Triumphant in Kebbi State for the 2023 Elections
God willing
A Vote For PDP is a Vote For Impactful Change in Good Governance",4,,2,81
2023-03-17T19:04:22.000Z,youngandaflame,@EbriMarvellous,"This is the reason why I will never vote again for anyone unless Peter Obi is in the contest. He was and is my motivator in 2023 elections. But after the recent INEC fraud, I lock up. My PVC is now for official purposes only. #endinec",1,,,34
2023-03-17T19:03:23.000Z,AllNews Nigeria,@allnewsngr,2023 Elections: Yahaya Urges Politicians To Be Mindful Of Utterances,,,,15
2023-03-17T19:01:35.000Z,Celebritybox9ja,@celebritybox9ja,"#mcoluomo claims he was joking with his #igbo sister and not threatening any thread.

'Iya Chukwudi’ is my sister, count me out of threat to Igbos – MC Oluomo.

 #lagosgubernatorialelection #2023elections #celebritybox9ja",,,,64
2023-03-17T18:50:24.000Z,Nwagunner,@NwachinemereNwa,"I keep looking forward to the day Nigerians/Africans in the diaspora decide to use their numbers to influence policy that favours Nigerians/Africa. 
I hope the 2023 elections become the catalyst.",,,,26
Sponsored post,DITOGAMES,@DITOGAMESch,"If you have a mouse, you will never turn off your computer again.",59,6,25,85.2K
2023-03-17T18:48:01.000Z,Nissa,@lozann_oo,Pt:2 #explorepage #tiktokthis #quietgirl #2023Elections,4,2,2,185
2023-03-17T18:41:13.000Z,EkoHotBlog,@ekohotblog,2023 Elections: Corp Members Should Be Better Protected — NYSC DG Appeals,,,,8
2023-03-17T18:20:15.000Z,DaystarNG,@DaystarNG,"It’s time to make our voices heard.

Let’s step out and exercise our civic duty, at the nationwide governorship and state Houses of Assembly elections tomorrow

Let’s show up, and make a difference in our nation together.

#2023Elections",19,,13,"1,441"
2023-03-17T18:08:46.000Z,360aproko,@360aproko,2023 Elections: Police arrest 53-year-old woman with laminated INEC materials,,,,4
2023-03-17T18:06:21.000Z,Africa Foundation for Young Media Professionals,@africamediafdn,"Accountability and actions are necessary as Nigerians go to poll again- 
@ladyeumukoro
 Journalists and Voters at Risk: Ejiro Umukoro Urges Accountability and Action Ahead of 2023 Elections",,,,18
2023-03-17T18:04:17.000Z,@nigeriagrasnews,@nigeriagrasnews,"Om Guber and HOS elections 
@LadyEumukoro
  says   Journalists and Voters at Risk: Ejiro Umukoro Urges Accountability and Action Ahead of 2023 Elections",1,,1,22
2023-03-17T18:02:29.000Z,@nigeriagrasnews,@nigeriagrasnews,"As elections come up tomorrow  in Nigeria 
@LadyEumukoro
 says Journalists and Voters at Risk: Ejiro Umukoro Urges Accountability and Action Ahead of 2023 Elections",,,,3
2023-03-17T18:01:14.000Z,ConstitutionLab,@ConstitutionLab,"Join now!!!
#2023Elections",,,,16
2023-03-17T17:52:10.000Z,Yusful Peter Obi,@JohnsonAnozie1,"I love this 2023 elections ...wallahi....it exposed many so called freedom fighters...kai..After elections, shey you will continue tweeting about freedom for Black race??? E don over for you....The way you crying these days sha, chai",1,,,32
Sponsored post,DITOGAMES,@DITOGAMESch,"If you have a mouse, you will never turn off your computer again.",237,7,28,244.3K
2023-03-17T17:48:32.000Z,Ugamatv,@ugamatv,2023 Elections: Police arrest 53-year-old woman with laminated INEC materials,,,,2
2023-03-17T17:39:04.000Z,Even Ezer,@EvenEzra,"If You think You are Too Big for Politics M.C Oluomo Will Be Your Next Governor - Farotimi

https://youtu.be/E5j8RW8MTcA
SaharaTV, 22 Oct 22

Dele Farotimi has enjoined Nigerians to engage the system ahead of the 2023 elections as the Nigerian ruining crass (ruling elite) has no ...",,1,,4
2023-03-17T17:29:07.000Z,Situation Room,@SituationRoomNg,"Update: Distribution of sensitive materials at Dambam INEC LGA Office, Bauchi State, to Wards ahead of the Governorship/State Assembly election.

#SR2023Elections 
#NigeriaDecides2023 
#2023elections",2,,,302
2023-03-17T17:02:56.000Z,Situation Room,@SituationRoomNg,"Update: Arrival of sensitive materials at Alagbomeji RAC in Lagos mainland, ahead of the Governorship/State Assembly election.

#SR2023Elections 
#NigeriaDecides2023 
#2023Elections",5,1,,531
2023-03-17T17:02:48.000Z,AllNews Nigeria,@allnewsngr,2023 Elections: CDD Accuses Politicians Of New Vote-Buying Strategies,,,,57
2023-03-17T17:00:00.000Z,skabashnaija,@skabashnaija,"With the governorship & state assemblies election scheduled for tomorrow, the integrity of elections can be jeopardised by various forms of electoral offences, from minor infractions to severe violations of the law.

https://skabash.com/electoral-offences/… #Electoraloffences #2023elections",,,,9
2023-03-17T16:55:16.000Z,Situation Room,@SituationRoomNg,"Update: Distribution of sensitive materials at Ukum INEC LGA Office, Benue State, to Wards ahead of the Governorship/State Assembly election.

#SR2023Elections 
#NigeriaDecides2023 
#2023Elections",1,,,443
2023-03-17T16:54:46.000Z,AllNews Nigeria,@allnewsngr,2023 Elections: Kaduna CP Orders Strict Enforcement Of Restricted Movements,,,,15
2023-03-17T16:49:49.000Z,Situation Room,@SituationRoomNg,"Update: Distribution of sensitive material at Kwami INEC LGA Office, Gombe State, ahead of the Governorship/State Assembly election.

#SR2023Elections 
#NigeriaDecides2023 
#2023Elections",1,,,353
2023-03-17T16:48:53.000Z,Okey Menyiba,@OkeyMenyiba,"You can take a horse to the stream but you can't force it to drink water. This run up to 2023 elections has exposed a lot (and still exposing) about Nigerians. Playing ostrich when it matters most, is very dangerous to the players.",,,,20
Sponsored post,DITOGAMES,@DITOGAMESch,"If you own a mouse, you will never turn off your computer again.",655,75,113,462K
2023-03-17T16:47:36.000Z,Samuel Inalegwu,@SamuelInalegw13,Alhaji u need to step up and do something that is not about you for the first time. U are quite sure ur vP candidate of 2019 won the 2023 Elections. We need you and the pdp to strip apc all thier position dey robbed.,1,,,431
2023-03-17T16:46:34.000Z,Celebritybox9ja,@celebritybox9ja,"Trending Video of #mcoluomo warning voters.
The Chairman of the Lagos State Parks Management Committee Musiliu Akinsanya also known as MC Oluomo, in a viral video on Thursday, warned Igbos in the state who will not vote for the APC to stay at home on election day.
#2023elections",,,,66
2023-03-17T16:23:03.000Z,EyeNeck,@Paycevibe,"EyeNeck not INEC don rig again ooo 
Pls Retweet Aggressively 
.
Mr Peter Obi MC Oluomo #protest APC in Lagos IT IS DONE Jandor #2023Elections Igbo’s #OccupyINECNOW Opay to Opay Nnamdi Kanu Oba of Benin",13,2,4,"1,633"
2023-03-17T16:11:07.000Z,peacemight,@peacemight,"Elections have been free from 1960 but not for once fair....
Incase you want to no more about Elections held in Nigeria b4 this last presidential election ask Google.
thank you.
Your's sincerely,
 
@peacemight
 .",,,,21
2023-03-17T16:10:17.000Z,Situation Room,@SituationRoomNg,"Update: Distribution of sensitive election materials at Billiri LGA, Gombe State, to Wards in readiness for the Governorship/State Assembly election tomorrow.

#SR2023Elections 
#NigeriaDecides2023 
#2023Elections",2,,1,345
2023-03-17T16:05:15.000Z,TMA,@TMAInfo,"TMA asked 2023 mayoral candidates about #manufacturing, and here's how Paul Vallas of Chicago answered. Find out more at  https://tmanews.com/wp-content/uploads/2023/03/2023-Vallas-questionnaire.pdf… #municipal #TMA23 #mayor #2023elections #Illinois",,,,22
2023-03-17T16:04:55.000Z,My Zimbabwe News,@myzimbabwenews,LATEST: Survey reveals who Zimbabweans will elect as president in 2023 elections >>>,,,,147
2023-03-17T16:03:32.000Z,NigeriaInfoPH,@NigeriaInfoPH,"The EFCC Port Harcourt zonal command has warned against vote-buying, selling, and other electoral fraud.  

Head of Public Affairs, Akpors Mezeh-Ekisowei, in an interview said personnel have been posted across the 23 LGAs to monitor the elections.
.
#LetsTalk | #2023Elections",9,4,8,889
2023-03-17T16:02:41.000Z,Situation Room,@SituationRoomNg,"Update: Sensitive election materials have arrived Lapai LGA in Niger State, in readiness for tomorrow's Governorship/State Assembly election.

#SR2023Elections 
#NigeriaDecides2023 
#2023Elections",,,,292
2023-03-17T16:00:20.000Z,Godwin,@Analyst_Godwin,"Thank God for 2023 elections. We now know the hypocrites. Reno, you are one.",,,,8
2023-03-17T15:59:01.000Z,Situation Room,@SituationRoomNg,"Distribution of sensitive materials at Tafa INEC LGA for onward distribution to the various Wards in the LGA ahead of the Governorship/State Assembly elections tomorrow.

#SR2023Elections
#NigeriaDecides2023 
#2023Elections",,1,1,256
Sponsored post,仙劍奇俠傳 Sword and Fairy,@SwordandFairy,"With the ray tracing technology, the images and effects look more vivid and they make us feel more #immersive. let us see how they work on Dreamlike World. 
#swordandfairy7 #raytracing #NVIDIA #DLSS #deeplearning #videogames #steam #dlc #dreamlikeworld",42,1,8,49.7K
2023-03-17T15:56:05.000Z,ProjectCareerUK,@ProjectCareerUK,"Talk about your leadership style, and most importantly, show enthusiasm for the role and the company. These tips will help you tailor your responses to show how you can contribute to the success of the company. Good luck!
#2023elections #projectmanagement #WWII #Ireland",1,1,1,21
2023-03-17T15:34:55.000Z,Victor Balogun,@VictorB60885844,"Vote Peacefully. Nigeria is our patrimony. We can't destroy her because of difference in our choices.
@cappafrica
 @EU_SDGN
 

#2023Elections #EU4DemocracyNG",6,,7,92
2023-03-17T15:31:47.000Z,J A OSARO,@Osaro001,"Let's change the narrative!
@cappafrica
 @EU_SDGN
 
#2023Elections #EU4DemocracyNG",5,,7,142
2023-03-17T15:31:22.000Z,Mosope pearl,@mosope_pearl,"@CAPPAfrica
  

#2023Elections #EU4DemocracyNG",,,,6
2023-03-17T15:30:26.000Z,kasie Samuel,@KasieSamuel,"Dear Enuguians, Tomorrow is the decision day. 

Be guided, be wise. Vote Credibility and Proper Representation not party. 

It's your FUTURE after all.

To your continued growth

Kasiemobi Samuel

 #growth 
#future 
#vote 
#2023elections 
#elections 
#enu…",,,,6
2023-03-17T15:28:54.000Z,J A OSARO,@Osaro001,"Election is not war
@cappafrica
 @EU_SDGN
 

#2023Elections #EU4DemocracyNG",4,,6,109
2023-03-17T15:28:08.000Z,Victor Balogun,@VictorB60885844,"A violence free polls is in our collective interest.
@cappafrica
 @EU_SDGN
 

#2023Elections #EU4DemocracyNG",6,,9,146
2023-03-17T15:27:09.000Z,Babannan Iliya,@Babannan_Iliya,"Don't create instability, vote peacefully and wisely.
@cappafrica
 @EU_SDGN
 

#2023Elections #EU4DemocracyNG",5,,7,132
2023-03-17T15:25:44.000Z,Annoying Anonymous,@Feezybellz,"Vote in peace.
@cappafrica
 @EU_SDGN
 

#2023Elections #EU4DemocracyNG",5,,6,133
2023-03-17T15:08:03.000Z,"Ilomechine, Vincent Edwin",@Eluemunor_,"We play too much in this country. Are we sure we are okay as human beings? Labor now Rivers State. The truth of the matter is that the 2023 elections came as a tsunami. 
We are going to learn the hard way. 
We can't continue to behave like apes. 
Change is inevitable.",,,,34
2023-03-17T15:05:09.000Z,Victor Balogun,@VictorB60885844,"Election is NOT War. My name is Victor Balogun
 I support a peaceful Governorship and House of Assembly polls.
@cappafrica
 @EU_SDGN
 

#2023Elections #EU4DemocracyNG",6,,9,190
2023-03-17T15:04:35.000Z,ADEMO OLUWASEYI OLAYEMI,@oluwaseyi_ademo,"Avoid bloodshed. 
@cappafrica
 @EU_SDGN
 

#2023Elections #EU4DemocracyNG",8,,11,123
2023-03-17T15:04:09.000Z,ADEMO OLUWASEYI OLAYEMI,@oluwaseyi_ademo,"Vote in peace.
@cappafrica
 @EU_SDGN
 

#2023Elections #EU4DemocracyNG",7,,11,103
2023-03-17T15:03:41.000Z,ADEMO OLUWASEYI OLAYEMI,@oluwaseyi_ademo,"@cappafrica
 @EU_SDGN
 

#2023Elections #EU4DemocracyNG",3,,5,52
2023-03-17T15:03:39.000Z,Dhorkasmbasen,@dhorkasmbasen,"Vote with your thumb not with guns.
@cappafrica
 @EU_SDGN
 

#2023Elections #EU4DemocracyNG",8,,9,173
2023-03-17T15:02:52.000Z,Dhorkasmbasen,@dhorkasmbasen,"Vote peacefully.
@cappafrica
 @EU_SDGN
 

#2023Elections #EU4DemocracyNG",9,,9,169
2023-03-17T15:02:35.000Z,Dhorkasmbasen,@dhorkasmbasen,"Vote not fight. Election is not war!
@cappafrica
 @EU_SDGN
 

#2023Elections #EU4DemocracyNG",8,,10,167
2023-03-17T14:45:50.000Z,HenrisCounty,@CountyHenris,2023 Elections: 'A New Nigeria is Possible on the 18th of March' - Peter Obi to Obidients,,,,2
2023-03-17T14:41:01.000Z,darlingvic,@Iamdarlingvic,Please read this post from Channels Television:  2023 Elections: Igbo Group Demands End To Attacks On Lagos Kinsmen.,,,,1
2023-03-17T14:36:11.000Z,Stop Bad People,@SaveThePeoplle,"This is a credible Intel

Whatever has happened and will happen tomorrow in lagos, Rivers and other part of the country is a direct reflection of what happened in Nigerias 2023 elections.
@RussiaUN
 
@ChinaDaily",5,,2,379
2023-03-17T14:35:14.000Z,Sathish Kumar,@799Sathish,2023 elections are only for congress,,,,6
2023-03-17T14:24:35.000Z,LEADERSHIP NEWS,@LeadershipNGA,Kano Residents Express Readiness For Saturday’s Guber Poll Despite Violence Rumour http://dlvr.it/Sl34vp #News #2023Elections #Guber #Kano,10,2,2,"1,549"
2023-03-17T14:20:38.000Z,Situation Room,@SituationRoomNg,"Quick Facts on Women, PWDs and Youths Contesting for Governorship and Deputy Governorship Seats in the 2023 General Elections.

#SR2023Elections 
#NigeriaDecides2023 
#2023Elections",5,1,3,968
2023-03-17T14:18:30.000Z,Democrats Abroad Mexico,@DemsAbroadMX,"WISCONSIN Voters: Send back your ballot by March 23, 2023 at latest. Help turn the WI State Supreme Court blue!  Details here: https://democratsabroad.org/voting_news
KY, LA, MS, NJ, VA Voters: You also have 2023 Elections. Details at link above.",2,,4,288
2023-03-17T14:17:58.000Z,Everything Peter Obi,@ObiEverything,"[Full Briefing] 2023 Elections: Igbo Group Demands End To Attacks On Lagos Kinsmen, Residents.",23,,13,427
2023-03-17T14:17:49.000Z,AGOA WASTE MANAGEMENT COMPANY,@AgoaWaste,"As the 2023 Governorship Elections hold this Saturday, endeavor to go to the polls and vote your choice. Please let's spread peace and disregard all form of misinformation. Thank you. 

#happyfriday
#Governorship2023
#Lagoselection
#Oyoelection
#INECElectionresult
#2023elections",,,,20
Sponsored post,DITOGAMES,@DITOGAMESch,"If you have a mouse, you will never turn off your computer again.",377,17,45,289.1K
2023-03-17T13:53:59.000Z,Situation Room,@SituationRoomNg,"Situation Room planning meeting for the 2023 Governorship and State Houses of Assembly election at the Situation Room Election Hub.

Visit our Facebook page for more pictures: https://bit.ly/3NUWNyc

#SR2023Elections 
#NigeriaDecides2023 
#2023Elections",2,,,360
2023-03-17T13:48:08.000Z,Ezike Emmanuel,@EzikeEmmanuel13,2023 Elections in history!,,,,22
2023-03-17T13:44:37.000Z,Prof. DANSTEY (Affidavit),@clubdidy,"Did the BVAS even work perfectly? In some places in the north, BVAS was not used yet they declared results. You got the crux of the matter-which is INEC changed the terms for which the 2023 elections contracts were signed thereby amounting to a contract breach!",,2,,"1,212"
2023-03-17T13:35:05.000Z,Bishop (LP) ,@BishopPOEvang,"Complete details and Briefing 2023 Elections: Igbo Group Demands End To Attacks On Lagos Kinsmen, Residents.",563,16,396,28.1K
2023-03-17T13:33:53.000Z,IKE,@chris_makchris,"When PO 
@PeterObi
 said he will conduct election that is much more transparent and less half the amount spent to conduct the 2023 elections in Nigeria when takes charge of office of the president, this is one of what he was saying",2,,,24
2023-03-17T13:30:46.000Z,IKE,@chris_makchris,"This was how the 2023 elections voting was supposed to be electronically , but the Senate collaborate with 
@inecnigeria
 to reverse the election 2022 act for manual voting and results transmission electronically resulting to BVAS",1,,,80
2023-03-17T13:30:24.000Z,Jaypee,@JaypeeGeneral,"[Full Briefing] 2023 Elections: Igbo Group Demands End To Attacks On Lagos Kinsmen, Residents.",390,8,292,"7,971"
2023-03-17T13:22:44.000Z,AllNews Nigeria,@allnewsngr,"2023 Elections: BPSR, UNILAG Sign MoU To Train Public Officials On Good Governanace",1,,,21
2023-03-17T13:19:48.000Z,EarlyMan,@JonBinRa,"@inecnigeria
 @PoliceNG
Do you still need evidence to arrest this man, disqualify and prosecute his principal for compromising the 2023 elections in accordance with our law?",13,,,647
Sponsored post,DITOGAMES,@DITOGAMESch,"If you have a mouse, you will never turn off your computer again.",176,5,26,147.5K
2023-03-17T13:19:25.000Z,Bayelta Pikin,@Moodyaga1,"In all of this, it’s the “ruining crass” (to borrow from 
@DeleFarotimi
 ) that wins. They have all but succeeded in dividing the #EndSARS generation. It will take another 2 generations to recover from the damage wroth by this 2023 elections. Sad.",2,,,218
2023-03-17T13:18:11.000Z,Madam President: Ifeoma Awokoya ELITE Buharist,@iyaboawokoya,My most important point the cashless part of the 2023 elections. No one can say voters were induced,4,2,1,217
2023-03-17T13:08:17.000Z,Ikorodu News Network (INN),@IkoroduN,"2023 ELECTIONS: SANWO-OLU ASSURES LAGOSIANS OF PEACEFUL GUBERNATORIAL, STATE HOUSE OF ASSEMBLY ELECTIONS ®™√ INN Nigeria ©",,,,2
2023-03-17T13:07:41.000Z,AllNews Nigeria,@allnewsngr,2023 Elections: Arrest Violators Of Movement Restriction - Adeleke,,,,14
2023-03-17T12:39:22.000Z,CITE,@citezw,"Zanu PF has postponed primary elections that were scheduled for Saturday due to an overwhelming response from party members seeking to represent the party in the 2023 elections.

https://cite.org.zw/zanu-pf-postpones-primary-elections/…
#Asakhe",1,,,288
2023-03-17T12:39:18.000Z,Moda Analytica,@moda_analytica,"#nigerians go and vote tomorrow. Do it rightly though 

#tgif #statsmetrics #2023elections",4,1,1,41
2023-03-17T12:29:06.000Z,Mazi Neurostan,@Theafricandr01,"I used to hear about rigging in previous elections. In 2023 elections, I saw rigging!",,,,1
2023-03-17T12:21:27.000Z,Moneyline with Nancy,@moneylineTV,":: A Look At The 2023 #Elections.::
::-Importance Of States Elections.-::

Cheta Nwanze, lead partner, 
@sbmintelligence
, spoke on how and why the states election is to be regarded more important than the national polls even… 
 More details via: https://youtu.be/HCJq5a5n-3Q 

#Watch",,,3,"1,581"
2023-03-17T12:19:21.000Z,Nnaemeka,@oweh1,"Baba Kèkèré, there are some people I can never be friends with again oooh . 2023 elections revealed a whole lot! People I thought were friends and brothers.",1,,,92
2023-03-17T12:16:56.000Z,SHAFEE'U_TRT,@shafeeutrt,"Alaji, 2023 elections has set so many dangerous precedence. Only few would understand this",,1,,4
2023-03-17T12:11:11.000Z,Umunnunu,@umunnunu,"THE GANGSTER CALLED MC OLUOMO IS TERRORIZING THE IGBO IN LAGOS & ATTACKING THEM & CANDIDATES THEY APPEAR TO SUPPORT IN NIGERIA'S 2023 ELECTIONS. HE'S NOT ARRESTED BECAUSE 
@MBuhari
'S REGIME IS BEHIND HIM, 
@UKinNigeria
 IS PROUD OF HIM, & 
@POTUS
 & 
@USinNigeria
 GIVE HIM TACIT SUPPORT",,,,31
2023-03-17T12:11:09.000Z,Blueprint Newspapers,@Blueprint_ng,"Breaking: APC, other governorship candidates protest Wike’s ‘harassment’ in Rivers, day to 2023 elections",,,1,37
2023-03-17T12:07:59.000Z,LagosPost.ng,@lagospostdotng,"2023 Elections: Don’t frustrate my efforts to get justice, Obi tells INEC https://lagospost.ng/2023-elections-dont-frustrate-my-efforts-to-get-justice-obi-tells-inec…",,,,31
2023-03-17T12:02:48.000Z,Lux Terra Leadership Foundation,@LuxTerraNG,"How much will they give you that will suffice for the next four years?

Think about this before you sell your vote.

Vote your conscience! Don't sell your vote!

#LuxTerraAdvocacy
#2023Elections
#VoteNotFight
#VoteRight
#BeResponsible 
#SaveNigeria",1,,1,59
2023-03-17T12:00:00.000Z,Stears,@StearsInsights,"Say goodbye to endless scrolling and refreshing – follow our live blog for all the latest news and insights on the 2023 elections. 

Let us do the heavy lifting, so you can focus on what matters most.",4,,1,"1,209"
2023-03-17T11:50:07.000Z,Situation Room,@SituationRoomNg,"What do you think 
@inecnigeria
 can do to improve transparency in the 2023 Governorship/State Assembly elections?

Here is the opinion of some Nigerians 

#SR2023Elections 
#NigeriaDecides2023 
#2023Elections 
@UKinNigeria
 @Matthewbycredo
 @PLACNG
 @womenfundng
 @EiENigeria",4,3,,"1,282"
2023-03-17T11:30:01.000Z,DAILY SABAH,@DailySabah,CHP shelves meeting with HDP as possible alliance with pro-PKK party draws ire of Turkish opposition bloc ahead of 2023 elections,5,,1,952
2023-03-17T11:26:06.000Z,PRNigeria,@prnigeria,"2023 Elections: Nigerian Army Rolls out Hotlines for Security Breaches
Read more....

https://prnigeria.com/2023/03/16/elections-nigerian-army/…
@HQNigerianArmy
 
#army 
#Elections2023",2,,,37
2023-03-17T11:26:00.000Z,Buenos Aires Times,@theBAtimes,"Argentina's National Electoral Court on Thursday approved the timetable for the 2023 elections, including the dates of the primaries and general elections – including when a run-off could take place, if necessary.

#Elecciones2023",1,,1,195
2023-03-17T11:12:52.000Z,AllNews Nigeria,@allnewsngr,2023 Elections: Why We Awarded Contract To Firm Linked To APC — INEC,,,,18
2023-03-17T11:07:39.000Z,Fitness 2J2,@joel_186,"@TheChamberYXE
 2023 elections for Board of Directors starting Thurs16Mar2023. Honoured to have my name stand for re-election. Respectfully asking for your continued support. Look for your electronic ballot. Please take time to vote, incredible candidates",2,,1,20
2023-03-17T11:07:22.000Z,Baingan Bharta,@secular_inc,"Local politics bjp ki aisi hai ki pilot ki jagah nahi hai...
Pilot only has ambition to be CM

So i think,if He sees Scindia being elevated to CM post candidate for 2023 elections he maybe tempted too for future
But until then very unlikely, pilot ko bata hai INC me hi mauka hai",3,,,286
2023-03-17T11:02:35.000Z,Anap Foundation,@anapfoundation,Every level of Government is important. The President cannot make all the changes in the country. It is vital that you put in a vote for the State Governor and House of Assembly candidate of your choice tomorrow.  #GoNigeria #2023Elections #Vote,15,,7,"1,495"
2023-03-17T11:01:17.000Z,Hems,@Hembaiogu,"@inecnigeria
  What a joke On the 18-02-2023 elections, Inec Chairman says to the world “the votes of Nigerians count”.   Nigerians votes  didn’t  count for the 25-03-2023 election. Why the change of heart? Please, tell that to the bees and the bird",,,,15
2023-03-17T10:57:29.000Z,IBEDC,@IBEDC_NG,"Dear customer, voting is part of your civic responsibility.
Exercise your right to vote!

Remember: Our cash offices will be closed but our online channels remain open.
#ibedc #election #2023elections #goandvote #Elections #Democracy #electricity #nationbuilding",9,17,3,"1,393"
2023-03-17T10:55:49.000Z,Murphy Osato,@MurphyOsato,"As you leave office in May 29th, May your life and career be as credible, free and fair like the 2023 elections. Amen.",1,,1,118
2023-03-17T10:19:25.000Z,Eddie,@efeezee,"May the evil party, #APC and all evil politicians in all parties record a resounding loss on the Saturday 18.03.2023 elections in Nigeria. Isée... Ameen.",,,,23
2023-03-17T10:10:06.000Z,Situation Room,@SituationRoomNg,"March 18: Voters must be protected in Saturday polls, Situation Room charge security agencies

Read More: http://bit.ly/3TvAWBl

#SR2023Elections
#NigeriaDecides2023 
#2023Elections",,,2,286
2023-03-17T10:08:38.000Z,Situation Room,@SituationRoomNg,"Guber Polls: Over 70 CSOs Alert Police On ‘Tensed Security Situation’ In Lagos, Rivers, Abia, Kano, Others

Read More: http://bit.ly/3JmIzFv

#SR2023Elections
#NigeriaDecides2023 
#2023Elections",2,,,273
2023-03-17T10:07:32.000Z,Situation Room,@SituationRoomNg,"2023 governorship election: SituationRoom deploys 2,340 election observers in 36 states

Read more on 
@Blueprint_ng
: http://bit.ly/3Tkt5qh

#SR2023Elections
#NigeriaDecides2023 
#2023Elections",1,,1,343
2023-03-17T10:06:52.000Z,Rotham Guilde,@Rothamhouse,"Can we say the same for the 2023 elections?

2023 elections is worst because it happened after all the reforms and progress we supposedly have made.",,,,48
2023-03-17T10:01:47.000Z,Situation Room,@SituationRoomNg,"Situation Room on Thursday urged Independent National Electoral Commission (INEC) to avoid various pitfalls that marred the Presidential and National Assembly’s elections

Read More on 
@nigeriantribune
: http://bit.ly/3JrGUP9

#SR2023Elections
#NigeriaDecides2023 
#2023Elections",,,,252
Sponsored post,DITOGAMES,@DITOGAMESch,"If you own a mouse, you will never turn off your computer again.",237,14,52,231.6K
